microsecondsSinceGpsEpoch, temp (C)
9.434016147723681E14, 19.49805
9.434016157723681E14, 19.496100195
9.434016167723681E14, 19.4941505849805
9.434016177723681E14, 19.492201169922
9.434016187723681E14, 19.49025194980501
9.434016197723681E14, 19.48830292461003
9.434016207723681E14, 19.48635409431757
9.434016217723681E14, 19.48440545890814
9.434016227723681E14, 19.482457018362247
9.434016237723681E14, 19.48050877266041
9.434016247723681E14, 19.478560721783143
9.434016257723681E14, 19.476612865710965
9.434016267723681E14, 19.474665204424394
9.434016277723681E14, 19.472717737903952
9.434016287723681E14, 19.470770466130162
9.434016297723681E14, 19.46882338908355
9.434016307723681E14, 19.46687650674464
9.434016317723681E14, 19.464929819093964
9.434016327723681E14, 19.462983326112056
9.434016337723681E14, 19.461037027779444
9.434016347723681E14, 19.459090924076666
9.434016357723681E14, 19.457145014984256
9.434016367723681E14, 19.455199300482757
9.434016377723681E14, 19.45325378055271
9.434016387723681E14, 19.451308455174654
9.434016397723681E14, 19.449363324329138
9.434016407723681E14, 19.447418387996706
9.434016417723681E14, 19.445473646157907
9.434016427723681E14, 19.44352909879329
9.434016437723681E14, 19.44158474588341
9.434016447723681E14, 19.43964058740882
9.434016457723681E14, 19.43769662335008
9.434016467723681E14, 19.435752853687745
9.434016477723681E14, 19.433809278402375
9.434016487723681E14, 19.431865897474534
9.434016497723681E14, 19.429922710884785
9.434016507723681E14, 19.427979718613695
9.434016517723681E14, 19.426036920641835
9.434016527723681E14, 19.42409431694977
9.434016537723681E14, 19.422151907518074
9.434016547723681E14, 19.420209692327322
9.434016557723681E14, 19.41826767135809
9.434016567723681E14, 19.416325844590954
9.434016577723681E14, 19.414384212006496
9.434016587723681E14, 19.412442773585294
9.434016597723681E14, 19.410501529307936
9.434016607723681E14, 19.408560479155007
9.434016617723681E14, 19.40661962310709
9.434016627723681E14, 19.40467896114478
9.434016637723681E14, 19.402738493248663
9.434016647723681E14, 19.400798219399338
9.434016657723681E14, 19.3988581395774
9.434016667723681E14, 19.39691825376344
9.434016677723681E14, 19.394978561938064
9.434016687723681E14, 19.39303906408187
9.434016697723681E14, 19.39109976017546
9.434016707723681E14, 19.389160650199443
9.434016717723681E14, 19.387221734134425
9.434016727723681E14, 19.38528301196101
9.434016737723681E14, 19.383344483659815
9.434016747723681E14, 19.38140614921145
9.434016757723681E14, 19.37946800859653
9.434016767723681E14, 19.37753006179567
9.434016777723681E14, 19.375592308789493
9.434016787723681E14, 19.373654749558614
9.434016797723681E14, 19.37171738408366
9.434016807723681E14, 19.36978021234525
9.434016817723681E14, 19.367843234324017
9.434016827723681E14, 19.365906450000583
9.434016837723681E14, 19.363969859355585
9.434016847723681E14, 19.36203346236965
9.434016857723681E14, 19.360097259023412
9.434016867723681E14, 19.35816124929751
9.434016877723681E14, 19.35622543317258
9.434016887723681E14, 19.35428981062926
9.434016897723681E14, 19.352354381648198
9.434016907723681E14, 19.350419146210033
9.434016917723681E14, 19.348484104295412
9.434016927723681E14, 19.346549255884984
9.434016937723681E14, 19.344614600959396
9.434016947723681E14, 19.3426801394993
9.434016957723681E14, 19.34074587148535
9.434016967723681E14, 19.338811796898202
9.434016977723681E14, 19.336877915718514
9.434016987723681E14, 19.334944227926943
9.434016997723681E14, 19.33301073350415
9.434017007723681E14, 19.3310774324308
9.434017017723681E14, 19.329144324687555
9.434017027723681E14, 19.327211410255085
9.434017037723681E14, 19.32527868911406
9.434017047723681E14, 19.323346161245148
9.434017057723681E14, 19.321413826629023
9.434017067723681E14, 19.31948168524636
9.434017077723681E14, 19.317549737077833
9.434017087723681E14, 19.315617982104126
9.434017097723681E14, 19.313686420305917
9.434017107723681E14, 19.311755051663887
9.434017117723681E14, 19.30982387615872
9.434017127723681E14, 19.307892893771104
9.434017137723681E14, 19.305962104481726
9.434017147723681E14, 19.304031508271276
9.434017157723681E14, 19.30210110512045
9.434017167723681E14, 19.300170895009938
9.434017177723681E14, 19.29824087792044
9.434017187723681E14, 19.296311053832646
9.434017197723681E14, 19.294381422727263
9.434017207723681E14, 19.29245198458499
9.434017217723681E14, 19.29052273938653
9.434017227723681E14, 19.28859368711259
9.434017237723681E14, 19.28666482774388
9.434017247723681E14, 19.284736161261105
9.434017257723681E14, 19.28280768764498
9.434017267723681E14, 19.280879406876213
9.434017277723681E14, 19.278951318935526
9.434017287723681E14, 19.277023423803634
9.434017297723681E14, 19.275095721461252
9.434017307723681E14, 19.273168211889107
9.434017317723681E14, 19.27124089506792
9.434017327723681E14, 19.269313770978414
9.434017337723681E14, 19.267386839601315
9.434017347723681E14, 19.265460100917355
9.434017357723681E14, 19.263533554907262
9.434017367723681E14, 19.261607201551772
9.434017377723681E14, 19.259681040831616
9.434017387723681E14, 19.257755072727534
9.434017397723681E14, 19.25582929722026
9.434017407723681E14, 19.253903714290537
9.434017417723681E14, 19.251978323919108
9.434017427723681E14, 19.250053126086716
