microsecondsSinceGpsEpoch, gratPos, counts
9.43401615E14, 0.0, 1098.2811642213278
9.43401616E14, 0.0, 1365.4555062537534
9.43401617E14, 0.0, 312.51674028274175
9.43401618E14, 0.0, 405.52409225323714
9.43401619E14, 0.0, 814.1173070883455
9.4340162E14, 0.0, 1491.875521087707
9.43401621E14, 0.0, 669.3137636021193
9.43401622E14, 0.0, 575.0967006008747
9.43401623E14, 0.0, 1471.0643078189432
9.43401624E14, 0.0, 398.1923443958896
9.43401625E14, 0.0, 787.1805133027358
9.43401626E14, 0.0, 1317.5260349974808
9.43401627E14, 0.0, 260.52369788542217
9.43401628E14, 0.0, 446.20589943288746
9.43401629E14, 0.0, 813.8148908957983
9.4340163E14, 0.0, 2140.9770103156143
9.43401631E14, 0.0, 913.8878129028972
9.43401632E14, 0.0, 1915.460696473071
9.43401633E14, 0.0, 1433.3370682536538
9.43401634E14, 0.0, 228.70801603522645
9.43401635E14, 0.0, 1683.5486790237892
9.43401636E14, 0.0, 719.489991850464
9.43401637E14, 0.0, 297.45069827147597
9.43401638E14, 0.0, 571.7775156575684
9.43401639E14, 0.0, 792.8096773253319
9.4340164E14, 0.0, 1407.1675351823696
9.43401641E14, 0.0, 1389.4323629563733
9.43401642E14, 0.0, 1057.3758726076471
9.43401643E14, 0.0, 948.4996015923432
9.43401644E14, 0.0, 855.6855229860037
9.43401645E14, 0.0, 662.6732876489722
9.43401646E14, 0.0, 1245.3362104657062
9.43401647E14, 0.0, 430.251703983252
9.43401648E14, 0.0, 444.1628988830178
9.43401649E14, 0.0, 881.3328203790641
9.4340165E14, 0.0, 591.1505870081374
9.43401651E14, 0.0, 1959.8708883874815
9.43401652E14, 0.0, 1124.2181249374723
9.43401653E14, 0.0, 1943.594928160624
9.43401654E14, 0.0, 232.6878069341319
9.43401655E14, 0.0, 1360.7025322077634
9.43401656E14, 0.0, 1034.0734254354597
9.43401657E14, 0.0, 927.395389629521
9.43401658E14, 0.0, 975.3078740566318
9.43401659E14, 0.0, 327.6470361006231
9.4340166E14, 0.0, 1079.3034785431962
9.43401661E14, 0.0, 850.6992485054449
9.43401662E14, 0.0, 941.4503671713962
